rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
21,59413,Corcoran Solar 2,CA,36.141944,-119.581667,19.8,Tier 1 (Excellent),0.9167364464820799,0.9675875661066617,5.641517908914012e-70,0.9362256980842135,0.9635028639526391,0.9351757958916115,1.3053961650251689,0.1670097859610168,116,10,2015,2024,476.15909,4104.8197413793105,4.364577935213124e-67,0.0009417422548561865,49.856560692626886,2.302036521249309e-05,7.140626221636157e-05,0.2180139341151856,0.002553232966163645
22,58419,Victor Dry Farm Ranch B,CA,34.497778,-117.471111,5.0,Tier 1 (Excellent),0.9162662975545132,0.9448590850515494,1.300407883066066e-56,0.892758690604451,0.940684920697546,0.974117594006609,0.905149155136399,0.11304506073604298,115,10,2015,2024,92.90101000000001,807.8348695652174,7.141578563617287e-55,0.0007382356539506046,27.06774308649716,2.4069651658192888e-05,1.9030209569462315e-06,0.10232264121757222,0.004473899266638995
23,59237,Lone Valley Solar Park II LLC,CA,34.408333,-116.8625,20.0,Tier 1 (Excellent),0.9145747567926215,0.9374962566127413,2.1778705640453764e-56,0.8788992311629028,0.9331255927381111,0.9815899030662194,1.1650986379983155,0.16700178346674482,121,11,2014,2024,494.53909999999996,4087.1,1.067145835067663e-54,0.0010011875735188509,25.65805248904283,3.406794032376409e-05,8.88544759579677e-08,0.19457355046039398,0.01124979400166044
24,59450,"Decatur Parkway Solar Project, LLC",GA,30.991944,-84.633889,80.0,Tier 1 (Excellent),0.9138652200539017,0.9354762132280753,3.7826410372562054e-50,0.8751157455155394,0.9494208136409972,0.9848852564328349,1.2392768938798102,0.13853145918761503,109,10,2015,2024,1588.1530299999997,14570.211284403667,1.2044336193373396e-55,0.001073898067491628,22.47521538506004,3.9218616199454224e-05,2.242240498763824e-07,0.17167883644666526,0.010753190552788155
25,58398,Heber Solar,CA,32.7125,-115.540556,10.9,Tier 1 (Excellent),0.9136904990657246,0.9446433851120106,7.794980987719524e-63,0.8923511250358784,0.9355486632484892,0.9315710066089077,1.0902426350240324,0.10924122283892418,128,11,2014,2024,275.0980599999999,2149.2035937499995,8.503817999704176e-59,0.0009623579497127507,21.330912930514558,2.9777499470644426e-05,3.0401222616627127e-05,0.11909943864115621,0.0021077172377285502
26,57256,PA Solar Park,PA,40.860142,-75.852206,10.1,Tier 1 (Excellent),0.913375672675372,0.9225018049546646,1.4248857625508982e-60,0.851009580144614,0.9215133862115427,0.9789582724315332,0.9979980708072035,0.22386047701775721,147,13,2012,2024,161.23949,1096.8672789115647,3.381933885729227e-60,0.0005978135242201132,38.92567738016713,2.0991018481979696e-05,6.116885626652546e-09,0.22341232419370202,0.003395012691092985
27,58262,Badger 1,AZ,33.498003,-112.813458,14.8,Tier 1 (Excellent),0.91275985163664,0.923589288859125,8.210886337353735e-57,0.8530171744953041,0.9189017319417947,0.963897436120187,1.2415122765551192,0.1323569751940645,134,12,2013,2024,426.35704999999996,3181.769029850746,3.574464081273959e-55,0.0009389272126606877,48.070924940490926,3.3923399658251447e-05,4.5459822967017495e-07,0.16432280959113246,0.006206775106603875
28,58882,Mercer County Community College,NJ,40.255833,-74.645278,7.5,Tier 1 (Excellent),0.9099063930689213,0.9234784349787413,1.3151318574013064e-57,0.8528124198707853,0.9333797688329821,0.9732678209291755,0.9681465769331647,0.2081449887500674,136,12,2013,2024,115.74909,851.0962499999999,1.705727342649196e-61,0.0006506727935369571,32.641447910135554,2.3351730679770223e-05,1.0279544399867843e-07,0.20151485836416985,0.003570110483124181
29,58202,RE Victor Phelan Solar One LLC,CA,34.51231,-117.47753,20.0,Tier 1 (Excellent),0.9085013716372703,0.9179981320759162,1.8240535233244924e-54,0.8427205704948713,0.9192009875434856,0.9681882591308488,1.0605681556752382,0.16175730527963067,133,12,2013,2024,504.84406999999993,3795.8200751879695,7.210316723582895e-55,0.0009140964481249657,23.680063862438487,3.4502497944869876e-05,2.432322341857462e-07,0.17155464692741437,0.005730153949931344
30,58500,RE Rio Grande Solar LLC,CA,35.00745,-118.16451,5.0,Tier 1 (Excellent),0.9080847316385317,0.9210284328717152,1.711663909904088e-55,0.8482933741581276,0.9100918554345953,0.9674633789008463,1.012198149787699,0.1583768837724292,133,12,2013,2024,119.65501,899.6617293233084,5.829164105752023e-52,0.0008405340531905436,27.26555172200159,3.1056242011205274e-05,2.7190363380186183e-07,0.1603087887235943,0.005814512086087428
