rank,plant_id,plant_name,state,latitude,longitude,capacity_mw,quality_tier,composite_score,pearson_r,pearson_p,r_squared,spearman_rho,annual_pearson_r,mean_performance_ratio,cv_performance_ratio,n_monthly_points,n_years,year_min,year_max,total_generation_gwh,mean_monthly_gen_mwh,spearman_p,regression_slope,regression_intercept,regression_stderr,annual_pearson_p,std_performance_ratio,annual_cf_trend
266,59631,Imclone Solar Electric Facility,NJ,40.555,-74.709444,8.0,Tier 2 (Good),0.8124010446403974,0.8963221005335371,2.4791066148254678e-46,0.8033933079048522,0.8946290952746395,0.6188641647789765,1.0872015204850962,0.2215978091707407,128,11,2014,2024,128.61809,1004.828828125,6.513841548804905e-46,0.000661668219442074,43.24548626967294,2.9160169643140852e-05,0.04235174894675585,0.2409214750665955,-0.0013869681403071818
267,58374,Corcoran Solar,CA,36.138333,-119.573333,20.0,Tier 2 (Good),0.8116563084640624,0.8365513461407982,4.320912055498915e-37,0.6998181547299815,0.8354257285268915,0.7767408654419156,1.2621409197064575,0.25397548786018326,137,12,2013,2024,535.34471,3907.625620437956,6.597291404114114e-37,0.0008030636655064988,62.362542327945306,4.526710301615999e-05,0.002961229401653117,0.32055285583074794,-0.0009262419372864596
268,10444,"Lockhart Solar PV, LLC",CA,35.0308,-117.3563,100.4,Tier 1 (Excellent),0.8115996039624713,0.9246986852892929,4.096500426607292e-08,0.8550676585757467,0.8926728586171312,,1.0265386048316754,0.12467696002499672,18,2,2023,2024,325.3,18072.222222222223,6.290980659201079e-07,0.000783244040327999,39.04804938323986,8.061568002047655e-05,,0.1279857125987147,
269,59087,City of Corcoran Solar,CA,36.134444,-119.554444,12.0,Tier 1 (Excellent),0.811094064382031,0.9174522938262325,1.8911953987918628e-47,0.8417187114470156,0.9173874601160957,0.5707575331227603,1.1729274288807423,0.20182518462899918,116,10,2015,2024,258.15106,2225.440172413793,1.974078581488316e-47,0.000826584552594234,47.402540023536744,3.3571145236602964e-05,0.0848627740043381,0.2367262948902731,-0.002508710391587106
270,60196,Santa Fe Solar Energy Center,NM,35.587795,-106.060859,9.5,Tier 3 (Acceptable),0.811055105035839,0.7912069929462027,1.36049336774633e-24,0.6260085056869724,0.781234361968307,0.9853777512566875,1.2502508363393678,0.25416781454307685,109,10,2015,2024,209.62806,1923.1932110091743,1.2399465033900595e-23,0.0007969197899314245,67.70947371824084,5.954749114363351e-05,1.965141377633685e-07,0.31777352270303116,0.01522929074450343
271,59337,Harrell's Hill Solar Center LLC,NC,35.211944,-78.100833,5.0,Tier 3 (Acceptable),0.8086451988111185,0.7925242252907327,1.0069948069530574e-24,0.6280946476726761,0.8042507743761144,0.9403930640697463,1.0615189681012407,0.23959925661013445,109,10,2015,2024,78.27702000000001,718.1377981651376,6.259353245972478e-26,0.0006764667464531833,47.93751537918975,5.0322039201590084e-05,5.137561221400782e-05,0.2543391556346143,0.0060845302338453046
272,59154,Bradley PV1,NC,36.260556,-77.076389,5.0,Tier 3 (Acceptable),0.8066623804787169,0.7993812643630207,3.392218282809348e-25,0.6390104058146217,0.7939133106458602,0.9210824401080314,0.9334024461028801,0.22755942083936423,109,10,2015,2024,65.13803,597.5966055045872,1.208608374093706e-24,0.0005358126956339315,47.2239336424266,3.911591046885545e-05,0.00015414845243414682,0.2124045200452173,0.013248657810986579
273,59832,Kinston Solar,NC,35.351436,-77.472283,5.0,Tier 2 (Good),0.8059134560039714,0.8052734002795794,5.909301766363022e-27,0.6484652491978357,0.8030141725996408,0.8924530222574164,1.0240585836204599,0.2195600974593852,113,10,2015,2024,76.86906,680.257168141593,1.048525025631985e-26,0.0006796085371236637,41.88354557856371,4.7493930714025e-05,0.0005130871844033428,0.22484240242382814,0.004956266777362666
274,50765,Stillwater Facility,NV,39.547537,-118.555613,22.0,Tier 3 (Acceptable),0.8033648195622346,0.748818085850408,3.8226649423499225e-27,0.560728525696669,0.8360863274656378,0.916600577389595,1.0461104814230942,0.33366462415641757,153,13,2012,2024,483.88303,3162.634183006536,7.508943361312289e-39,0.00046901510255874034,76.83898187265288,3.4836364896524803e-05,1.0552540783462535e-05,0.3490500606101258,0.004625223805874491
275,60195,South Valley Solar Energy Center,NM,34.986073,-106.736129,10.0,Tier 3 (Acceptable),0.8023394188757458,0.7823003720850558,9.845394156302723e-24,0.6119938721644167,0.7816050412380688,0.9611679123628415,1.1933252282425821,0.2580198734512516,109,10,2015,2024,214.95602000000002,1972.0735779816516,1.1445506231790247e-23,0.0008197738470586767,56.82180849202106,6.310269763229866e-05,9.492011376113718e-06,0.307901624377337,0.015823557492735577
276,58674,Cirrus Solar LLC,NC,35.969444,-78.265,5.0,Tier 3 (Acceptable),0.8014714339661185,0.777007466619844,1.1227639875117138e-25,0.603740603182988,0.8107959808912536,0.9196076325496914,1.043247813665095,0.28745608703341397,121,11,2014,2024,82.77202,684.0662809917355,1.8753581728008682e-29,0.0006829230101593088,42.824018460010834,5.071808650965521e-05,6.167733747057479e-05,0.29988793432233235,0.004637804068078044
277,60197,Santolina Solar Energy Center,NM,35.029719,-106.855498,10.5,Tier 3 (Acceptable),0.8009357618715289,0.7608531762818584,8.069106925504055e-22,0.5788975558581928,0.7864609396719489,0.986461159923636,1.2160735476581899,0.2465659522699818,109,10,2015,2024,230.57905000000002,2115.404128440367,3.9520520666118994e-24,0.0007706342583826635,68.27200622018313,6.354032704426216e-05,1.4462071810157385e-07,0.2998423323086767,0.013280678276568685
278,59527,Kelford,NC,36.148056,-77.211944,20.0,Tier 3 (Acceptable),0.7970261861390698,0.7835919351780853,1.201804948668628e-23,0.6140163208761367,0.7814455971876876,0.9223267932972835,1.2493940514903301,0.23831732695825222,109,10,2015,2024,354.90703,3256.027798165138,1.9073870972207965e-23,0.0007978544041288188,54.147730237319706,6.144198348007644e-05,0.0001448762221675879,0.2977522506687164,0.007001976961394767
279,57560,Chino Solar Valley,AZ,34.71843,-112.42899,19.0,Tier 3 (Acceptable),0.7965172911479476,0.7462627873647949,1.069288584896796e-26,0.556908147805473,0.8219409698282937,0.8768099790246466,1.2200238851673995,0.2840468023522513,145,13,2012,2024,540.5540900000001,3727.9592413793107,2.7714298051212714e-36,0.0007725704636623769,67.61941130457839,5.803415165394069e-05,8.334173702222685e-05,0.3465438833751701,0.004161616501739068
280,59020,Gila Bend,AZ,32.940833,-112.881389,36.0,Tier 2 (Good),0.7959642371015675,0.8619837875452168,5.47401778023047e-39,0.7430160499907974,0.8529172770554844,0.6130787051004497,1.2349330914152608,0.1536180768103953,128,11,2014,2024,999.15403,7805.890859375,2.2389206718681844e-37,0.0009380115310348538,48.23792766387939,4.914471345680395e-05,0.0448878362772449,0.18970804649272843,-0.0004182213112863789
281,58867,Angier Farm,NC,35.516389,-78.75,5.0,Tier 2 (Good),0.7957796014867607,0.867928522648248,2.4864634175767205e-41,0.7532999204263704,0.8713050034509918,0.6145675964655377,0.9462686159933716,0.21899660889177694,132,11,2014,2024,83.36,631.5151515151515,5.174055472724581e-42,0.0005687161179811977,46.20128234804908,2.8544638323180215e-05,0.04422541604699839,0.20722961800326348,-0.002317341220423413
282,58537,OCI Alamo Solar I,TX,29.271667,-98.444722,40.7,Tier 2 (Good),0.7937932262743407,0.8486236510301898,1.1911891216690513e-36,0.7201621010878093,0.8577739564848615,0.6308519005194022,1.0536087211823655,0.1671473887192148,128,11,2014,2024,830.7030500000001,6489.867578125,3.1662561473721966e-38,0.0008624230839840538,26.48829987506042,4.7893131490967844e-05,0.037415878658693336,0.17610794647742364,0.007748916838269266
